Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-09-03,11078.5,11078.5,11078.5,11078.5,0,0,0
1999-09-08,11036.3,11036.3,11036.3,11036.3,0,0,0
1999-09-14,10910.3,10910.3,10910.3,10910.3,0,0,0
1999-09-15,10801.4,10801.4,10801.4,10801.4,0,0,0
1999-09-16,10737.5,10737.5,10737.5,10737.5,0,0,0
1999-09-17,10803.6,10803.6,10803.6,10803.6,0,0,0
1999-09-21,10598.5,10598.5,10598.5,10598.5,0,0,0
1999-09-23,10318.6,10318.6,10318.6,10318.6,0,0,0
1999-09-24,10279.3,10279.3,10279.3,10279.3,0,0,0
1999-09-27,10303.4,10303.4,10303.4,10303.4,0,0,0
1999-09-28,10275.5,10275.5,10275.5,10275.5,0,0,0
1999-09-30,10337.0,10337.0,10337.0,10337.0,0,0,0
1999-10-05,10400.6,10400.6,10400.6,10400.6,0,0,0
1999-10-06,10588.3,10588.3,10588.3,10588.3,0,0,0
1999-10-07,10537.1,10537.1,10537.1,10537.1,0,0,0
1999-10-08,10649.8,10649.8,10649.8,10649.8,0,0,0
1999-10-14,10286.6,10286.6,10286.6,10286.6,0,0,0
1999-10-15,10019.7,10019.7,10019.7,10019.7,0,0,0
1999-10-21,10297.7,10297.7,10297.7,10297.7,0,0,0
1999-10-25,10349.9,10349.9,10349.9,10349.9,0,0,0
1999-10-27,10394.9,10394.9,10394.9,10394.9,0,0,0
1999-10-28,10622.5,10622.5,10622.5,10622.5,0,0,0
1999-10-29,10729.9,10729.9,10729.9,10729.9,0,0,0
1999-11-01,10648.5,10648.5,10648.5,10648.5,0,0,0
1999-11-02,10581.8,10581.8,10581.8,10581.8,0,0,0
1999-11-03,10609.1,10609.1,10609.1,10609.1,0,0,0
1999-11-04,10639.7,10639.7,10639.7,10639.7,0,0,0
1999-11-05,10704.5,10704.5,10704.5,10704.5,0,0,0
1999-11-08,10718.9,10718.9,10718.9,10718.9,0,0,0
1999-11-10,10597.8,10597.8,10597.8,10597.8,0,0,0
1999-11-15,10760.8,10760.8,10760.8,10760.8,0,0,0
1999-11-19,11003.9,11003.9,11003.9,11003.9,0,0,0
1999-11-22,11089.5,11089.5,11089.5,11089.5,0,0,0
1999-11-23,10995.6,10995.6,10995.6,10995.6,0,0,0
1999-11-24,11008.2,11008.2,11008.2,11008.2,0,0,0
1999-11-26,10988.9,10988.9,10988.9,10988.9,0,0,0
1999-11-29,10947.9,10947.9,10947.9,10947.9,0,0,0
1999-12-02,11039.1,11039.1,11039.1,11039.1,0,0,0
1999-12-03,11286.2,11286.2,11286.2,11286.2,0,0,0
1999-12-06,11225.0,11225.0,11225.0,11225.0,0,0,0
1999-12-07,11106.7,11106.7,11106.7,11106.7,0,0,0
1999-12-10,11224.7,11224.7,11224.7,11224.7,0,0,0
1999-12-13,11192.6,11192.6,11192.6,11192.6,0,0,0
1999-12-14,11160.2,11160.2,11160.2,11160.2,0,0,0
1999-12-20,11144.3,11144.3,11144.3,11144.3,0,0,0
1999-12-21,11200.5,11200.5,11200.5,11200.5,0,0,0
1999-12-22,11203.6,11203.6,11203.6,11203.6,0,0,0
1999-12-29,11484.7,11484.7,11484.7,11484.7,0,0,0
1999-12-31,11497.1,11497.1,11497.1,11497.1,0,0,0
2000-01-04,10997.9,10997.9,10997.9,10997.9,0,0,0
2000-01-05,11122.7,11122.7,11122.7,11122.7,0,0,0
2000-01-06,11253.3,11253.3,11253.3,11253.3,0,0,0
2000-01-11,11511.1,11511.1,11511.1,11511.1,0,0,0
2000-01-12,11551.1,11551.1,11551.1,11551.1,0,0,0
2000-01-13,11582.4,11582.4,11582.4,11582.4,0,0,0
2000-01-18,11560.7,11560.7,11560.7,11560.7,0,0,0
2000-01-19,11489.4,11489.4,11489.4,11489.4,0,0,0
2000-01-20,11351.3,11351.3,11351.3,11351.3,0,0,0
2000-01-21,11251.7,11251.7,11251.7,11251.7,0,0,0
2000-01-27,11028.0,11028.0,11028.0,11028.0,0,0,0
2000-01-28,10738.9,10738.9,10738.9,10738.9,0,0,0
2000-01-31,10940.5,10940.5,10940.5,10940.5,0,0,0
2000-02-01,11041.1,11041.1,11041.1,11041.1,0,0,0
2000-02-02,11003.2,11003.2,11003.2,11003.2,0,0,0
2000-02-03,11013.5,11013.5,11013.5,11013.5,0,0,0
2000-02-04,10963.8,10963.8,10963.8,10963.8,0,0,0
2000-02-08,10957.6,10957.6,10957.6,10957.6,0,0,0
2000-02-09,10699.2,10699.2,10699.2,10699.2,0,0,0
2000-02-10,10643.6,10643.6,10643.6,10643.6,0,0,0
2000-02-11,10425.2,10425.2,10425.2,10425.2,0,0,0
2000-02-14,10519.8,10519.8,10519.8,10519.8,0,0,0
2000-02-15,10718.1,10718.1,10718.1,10718.1,0,0,0
2000-02-16,10561.4,10561.4,10561.4,10561.4,0,0,0
2000-02-18,10219.5,10219.5,10219.5,10219.5,0,0,0
2000-02-22,10304.8,10304.8,10304.8,10304.8,0,0,0
2000-02-24,10092.6,10092.6,10092.6,10092.6,0,0,0
2000-02-28,10038.7,10038.7,10038.7,10038.7,0,0,0
2000-03-06,10170.5,10170.5,10170.5,10170.5,0,0,0
2000-03-07,9796.04,9796.04,9796.04,9796.04,0,0,0
2000-03-08,9856.54,9856.54,9856.54,9856.54,0,0,0
2000-03-10,9928.83,9928.83,9928.83,9928.83,0,0,0
2000-03-15,10131.4,10131.4,10131.4,10131.4,0,0,0
2000-03-16,10630.6,10630.6,10630.6,10630.6,0,0,0
